พื้นที่,ประเภทการขนส่ง,ลักษณะรถ,จำนวนใบอนุญาต
ทั่วประเทศ,ประจำทาง,รถโดยสาร หมวด 1,608
ทั่วประเทศ,ประจำทาง,รถโดยสาร หมวด 2,196
ทั่วประเทศ,ประจำทาง,รถโดยสาร หมวด 3,461
ทั่วประเทศ,ประจำทาง,รถโดยสาร หมวด 4,1481
ทั่วประเทศ,ประจำทาง,รถโดยสาร ระหว่างประเทศ,15
ทั่วประเทศ,ไม่ประจำทาง,รถโดยสาร ,33783
ทั่วประเทศ,ไม่ประจำทาง,รถโดยสาร ระหว่างประเทศ,266
ทั่วประเทศ,ไม่ประจำทาง,รถบรรทุก ,37603
ทั่วประเทศ,ไม่ประจำทาง,รถบรรทุก ระหว่างประเทศ,2716
ทั่วประเทศ,ส่วนบุคคล,รถโดยสาร ,2620
ทั่วประเทศ,ส่วนบุคคล,รถโดยสาร ระหว่างประเทศ,1
ทั่วประเทศ,ส่วนบุคคล,รถบรรทุก ,334676
ทั่วประเทศ,ส่วนบุคคล,รถบรรทุก ระหว่างประเทศ,168
