พื้นที่,ประเภทการขนส่ง,ลักษณะรถ,จำนวนใบอนุญาต
ทั่วประเทศ,ประจำทาง,รถโดยสาร หมวด 1,609
ทั่วประเทศ,ประจำทาง,รถโดยสาร หมวด 2,195
ทั่วประเทศ,ประจำทาง,รถโดยสาร หมวด 3,462
ทั่วประเทศ,ประจำทาง,รถโดยสาร หมวด 4,1488
ทั่วประเทศ,ประจำทาง,รถโดยสาร ระหว่างประเทศ,15
ทั่วประเทศ,ไม่ประจำทาง,รถโดยสาร ,34085
ทั่วประเทศ,ไม่ประจำทาง,รถโดยสาร ระหว่างประเทศ,270
ทั่วประเทศ,ไม่ประจำทาง,รถบรรทุก ,37386
ทั่วประเทศ,ไม่ประจำทาง,รถบรรทุก ระหว่างประเทศ,2691
ทั่วประเทศ,ส่วนบุคคล,รถโดยสาร ,2648
ทั่วประเทศ,ส่วนบุคคล,รถโดยสาร ระหว่างประเทศ,1
ทั่วประเทศ,ส่วนบุคคล,รถบรรทุก ,335961
ทั่วประเทศ,ส่วนบุคคล,รถบรรทุก ระหว่างประเทศ,172
