พื้นที่,ประเภทการขนส่ง,ลักษณะรถ,จำนวนใบอนุญาต
ทั่วประเทศ,ประจำทาง,รถโดยสาร หมวด 1,620
ทั่วประเทศ,ประจำทาง,รถโดยสาร หมวด 2,199
ทั่วประเทศ,ประจำทาง,รถโดยสาร หมวด 3,463
ทั่วประเทศ,ประจำทาง,รถโดยสาร หมวด 4,1495
ทั่วประเทศ,ประจำทาง,รถโดยสาร ระหว่างประเทศ,15
ทั่วประเทศ,ไม่ประจำทาง,รถโดยสาร ,34371
ทั่วประเทศ,ไม่ประจำทาง,รถโดยสาร ระหว่างประเทศ,278
ทั่วประเทศ,ไม่ประจำทาง,รถบรรทุก ,37152
ทั่วประเทศ,ไม่ประจำทาง,รถบรรทุก ระหว่างประเทศ,2673
ทั่วประเทศ,ส่วนบุคคล,รถโดยสาร ,2642
ทั่วประเทศ,ส่วนบุคคล,รถโดยสาร ระหว่างประเทศ,1
ทั่วประเทศ,ส่วนบุคคล,รถบรรทุก ,335900
ทั่วประเทศ,ส่วนบุคคล,รถบรรทุก ระหว่างประเทศ,173
