พื้นที่,ประเภทการขนส่ง,ลักษณะรถ,จำนวนใบอนุญาต
ทั่วประเทศ,ประจำทาง,รถโดยสาร หมวด 1,627
ทั่วประเทศ,ประจำทาง,รถโดยสาร หมวด 2,199
ทั่วประเทศ,ประจำทาง,รถโดยสาร หมวด 3,467
ทั่วประเทศ,ประจำทาง,รถโดยสาร หมวด 4,1502
ทั่วประเทศ,ประจำทาง,รถโดยสาร ระหว่างประเทศ,15
ทั่วประเทศ,ไม่ประจำทาง,รถโดยสาร ,34651
ทั่วประเทศ,ไม่ประจำทาง,รถโดยสาร ระหว่างประเทศ,286
ทั่วประเทศ,ไม่ประจำทาง,รถบรรทุก ,36948
ทั่วประเทศ,ไม่ประจำทาง,รถบรรทุก ระหว่างประเทศ,2638
ทั่วประเทศ,ส่วนบุคคล,รถโดยสาร ,2628
ทั่วประเทศ,ส่วนบุคคล,รถโดยสาร ระหว่างประเทศ,1
ทั่วประเทศ,ส่วนบุคคล,รถบรรทุก ,336527
ทั่วประเทศ,ส่วนบุคคล,รถบรรทุก ระหว่างประเทศ,178
